id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_eiras_1_1_1_01_0001,1.1.1.01.0001,Caixa,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_1_03_9001,1.1.1.03.9001,Transferencia de Liquidez,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_01_0003,1.1.2.01.0003,Clientes a Receber,,asset_receivable,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_08_0001,1.1.2.08.0001,Cheques em Cobranc,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_14_0001,1.1.2.14.0001,Visanet - VisaElectron,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_14_0004,1.1.2.14.0004,Redecard - Redeshop,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_14_0008,1.1.2.14.0008,Adm. de Cartoes a Receber,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_14_0009,1.1.2.14.0009,Cartões Diners,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_21_0007,1.1.2.21.0007,Creditos com Terceiros,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_21_0010,1.1.2.21.0010,Valores a Regularizar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_21_0012,1.1.2.21.0012,Outros Créditos,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_28_0001,1.1.2.28.0001,Adiantamentos a Fornecedores,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_29_0001,1.1.2.29.0001,Adiantamentos a Terceiros,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0001,1.1.2.30.0001,Adiantamentos para Viagens,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0004,1.1.2.30.0004,Adiantamentos para Despesas,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0007,1.1.2.30.0007,Adiantamentos para Salarios,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0010,1.1.2.30.0010,Adiantamentos para 13o. Salario,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0013,1.1.2.30.0013,Adiantamentos para Ferias,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0016,1.1.2.30.0016,Emprestimos a Empregados,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0017,1.1.2.30.0017,Adiantamentos a Empregados,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_30_0019,1.1.2.30.0019,Adiantamentos Vale Compra,,asset_current,1,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0001,1.1.2.31.0001,I.R.R.F. a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0025,1.1.2.31.0025,Inss a Recuperar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0052,1.1.2.31.0052,Simples Nacional a Recuperar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0053,1.1.2.31.0053,I.S.S.Q.N. a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0054,1.1.2.31.0054,Retenção Inss a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0055,1.1.2.31.0055,Retenção PIS a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0056,1.1.2.31.0056,Retenção Cofins a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0057,1.1.2.31.0057,Retenção Csll a Compensar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_2_31_0058,1.1.2.31.0058,ICMS a Recuperar,,asset_current,0,l10n_br_coa_eiras.account_template_eiras
account_template_eiras_1_1_3_01_0001,1.1.3.01.0001,Mercadorias para Revenda,,asset_non_current,0,l10n_br_coa_eiras.account_template_eiras
